,project,path,groundtruth,root-cause-name,root-cause-id
0,aes-circom-0784f74,aes_256_ctr_test.circom,unsafe,AES256Encrypt,[1]
1,aes-circom-0784f74,aes_256_encrypt_test.circom,unsafe,AES256Encrypt,[1]
2,aes-circom-0784f74,aes_256_key_expansion_test.circom,unsafe,AES256KeyExpansion,[2]
3,aes-circom-0784f74,gcm_siv_dec_2_keys_test.circom,unsafe,"AES256KeyExpansion,AES256Encrypt",[1]
4,aes-circom-0784f74,gcm_siv_enc_2_keys_test.circom,unsafe,"AES256KeyExpansion,AES256Encrypt",[1]
5,aes-circom-0784f74,gfmul_int_test.circom,,,
6,aes-circom-0784f74,mul_test.circom,,,
7,aes-circom-0784f74,polyval_test.circom,,,
8,circom-bigint-7505e5c,test_bigadd_15.circom,,,
9,circom-bigint-7505e5c,test_bigadd_23.circom,,,
10,circom-bigint-7505e5c,test_biglessthan_23.circom,unsafe,BigLessThan,[3]
11,circom-bigint-7505e5c,test_bigmod_22.circom,,,
12,circom-bigint-7505e5c,test_bigmod_32.circom,,,
13,circom-bigint-7505e5c,test_bigmult_21.circom,,,
14,circom-bigint-7505e5c,test_bigmult_22.circom,,,
15,circom-bigint-7505e5c,test_bigmult_23.circom,,,
16,circom-bigint-7505e5c,test_bigsub_15.circom,unsafe,"ModSub,ModSubThree","[4, 5]"
17,circom-bigint-7505e5c,test_bigsub_23.circom,unsafe,"ModSub,ModSubThree","[4, 5]"
18,circom-bigint-7505e5c,test_bigsubmodp_32.circom,unsafe,"ModSub,ModSubThree","[4, 5]"
19,circom-ecdsa-d87eb70,ecdsa.circom,,,
20,circom-ecdsa-d87eb70,ecdsa_verify.circom,,,
21,circom-ecdsa-d87eb70,secp256k1_add.circom,,,
22,circom-ecdsa-d87eb70,secp256k1_double.circom,,,
23,circom-ecdsa-d87eb70,secp256k1_poc.circom,,,
24,circom-ecdsa-d87eb70,secp256k1_scalarmult.circom,,,
25,circom-pairing-743d761,BigAdd_1_2.circom,,,
26,circom-pairing-743d761,BigAdd_251_2.circom,,,
27,circom-pairing-743d761,BigIsEqual_16.circom,,,
28,circom-pairing-743d761,BigIsZero_16.circom,,,
29,circom-pairing-743d761,BigMultShortLong_126_16_0.circom,,,
30,circom-pairing-743d761,BigMultShortLong_1_1_0.circom,,,
31,circom-pairing-743d761,FpMultiply_1_1_2.circom,,,
32,circom-pairing-743d761,ModProd_0.circom,,,
33,circom-pairing-743d761,ModProd_126.circom,,,
34,circom-pairing-743d761,ModProd_16.circom,,,
35,circom-pairing-743d761,ModSubThree_0.circom,unsafe,ModSubThree,[5]
36,circom-pairing-743d761,ModSubThree_251.circom,unsafe,ModSubThree,[5]
37,circom-pairing-743d761,ModSub_0.circom,unsafe,ModSub,[6]
38,circom-pairing-743d761,ModSub_252.circom,unsafe,ModSub,[6]
39,circom-pairing-743d761,ModSumFour_0.circom,,,
40,circom-pairing-743d761,ModSumFour_251.circom,,,
41,circom-pairing-743d761,ModSumThree_0.circom,,,
42,circom-pairing-743d761,ModSumThree_251.circom,,,
43,circom-pairing-743d761,ModSum_0.circom,,,
44,circom-pairing-743d761,ModSum_252.circom,,,
45,circom-pairing-743d761,bls12-381_add.circom,,,
46,circom-pairing-743d761,bls12-381_double.circom,,,
47,circom-pairing-743d761,fp12_add_22.circom,,,
48,circom-pairing-743d761,fp12_compression_32.circom,,,
49,circom-pairing-743d761,fp12_cyclotomicExp_32.circom,,,
50,circom-pairing-743d761,fp12_cyclotomicSquare_32.circom,,,
51,circom-pairing-743d761,fp12_invert_42.circom,,,
52,circom-pairing-743d761,fp12_multiply_32.circom,,,
53,circom-pairing-743d761,fp2_add_22.circom,,,
54,circom-pairing-743d761,fp2_invert_42.circom,,,
55,circom-pairing-743d761,fp2_multiply_42.circom,,,
56,circom-pairing-743d761,linefunc_equal_32.circom,,,
57,circom-pairing-743d761,linefunc_unequal_32.circom,,,
58,circom-pairing-743d761,multiply_linefunc_unequal_32.circom,,,
59,circom-pairing-743d761,secp256k1_add.circom,,,
60,circomlib-cff5ab6,AliasCheck@aliascheck.circom,,,
