project,path,groundtruth,root-cause-name,root-cause-id,issue,fix,status,known,deployment / release,url
Circom-examples-d71c19c,test_ModP.circom,unsafe,ModP,[1],,,,known,,https://github.com/tinaaliakbarpour/Circom-examples/blob/d71c19c0b346c21038b5ae455642f9accd306843/secretsharing/secretsharing.circom#L5
Circom-examples-d71c19c,test_SecretSharingForParty1.circom,unsafe,ModP,[1],,,,known,,https://github.com/tinaaliakbarpour/Circom-examples/blob/d71c19c0b346c21038b5ae455642f9accd306843/secretsharing/secretsharing.circom#L52
ZKDT-277f3f9,test_ADTChecker.circom,unsafe,ThreshComp,[2],,,,unknown,,https://github.com/PratyushRT/ZKDT/blob/277f3f98339bc232f200de9132a2e84cb1f3796f/circuits/AuthenticatedDT.circom
ZKP_ERC721-00351b7,test_MintFunction.circom,safe,,,,,,,,
ZKP_ERC721-00351b7,test_OwnershipFunction.circom,safe,,,,,,,,
ZKP_ERC721-00351b7,test_ReceiverFunction.circom,safe,,,,,,,,
ZKP_ERC721-00351b7,test_SenderFunction.circom,safe,,,,,,,,
ZKWave-e303600,test_VerifyPolynomial.circom,safe,,,,,,,,
Zkp-voting-82f1cac,test_voting.circom,unsafe,Vote,[3],https://github.com/RAKESH9494/Zkp-voting/issues/1,https://github.com/RAKESH9494/Zkp-voting/pull/2,fixed,unknown,https://holesky.etherscan.io/address/0xcb14d82298bf3c63d1216743b94fca3281245d9d,https://github.com/RAKESH9494/Zkp-voting/blob/82f1cacb1cab6093f8aada16fd66e35acbd0fd4a/backend/zkp_files/circuit.circom#L6
battlesnark-8aeb530,test_HitShip.circom,unsafe,HitShip,[4],https://github.com/alex-lindenbaum/battlesnark/issues/1,https://github.com/alex-lindenbaum/battlesnark/pull/2,,unknown,,https://github.com/alex-lindenbaum/battlesnark/blob/8aeb53072ee770cd0ec0f3af567ceb76f31fe2ba/circuits/hitShip.circom
circom-monolith-28f24a5,test_GlInvInv.circom,unsafe,GlInv,[5],,,,unknown,,
circom-monolith-28f24a5,test_HashNoPad.circom,safe,,,,,,,,
circom-monolith-28f24a5,test_Monolith.circom,safe,,,,,,,,
circom-monolith-28f24a5,test_RShift1.circom,unsafe,RShift1,[6],https://github.com/shuklaayush/circom-monolith/issues/1,,,unknown,,https://github.com/shuklaayush/circom-monolith/blob/28f24a55d0b0847948fb460680f6353aab92a877/circuits/goldilocks.circom#L113
circom-monolith-28f24a5,test_bar.circom,safe,,,,,,,,
circom-monolith-28f24a5,test_bars.circom,safe,,,,,,,,
circom-monolith-28f24a5,test_bricks.circom,safe,,,,,,,,
circom-sorting-54caf31,test_NonSignalSort.circom,unsafe,NonSignalSort,[7],https://github.com/erdoganishe/circom-sorting/issues/1,https://github.com/erdoganishe/circom-sorting/pull/2,fixed,known,,
circom-zkVerify-81fb88b,test_Example.circom,unsafe,Example,[8],https://github.com/armanthepythonguy/circom-zkVerify/issues/1,https://github.com/armanthepythonguy/circom-zkVerify/pull/2,fixed,unknown,,https://github.com/armanthepythonguy/circom-zkVerify/blob/81fb88b61fb8ed14e11aac642cec0699b49ba1b4/circom/circuit.circom
dark-factory-3cf53e5,test_LayoutEligibility.circom,unsafe,LayoutEligibility,[9],https://github.com/wizicer/dark-factory/issues/1,https://github.com/wizicer/dark-factory/pull/2,fixed,unknown,"Scroll Sepolia: 0x03F80FeA1795627334C2c2ae7D623257398d0549
Polygon zkEVM Cardona: 0x03F80FeA1795627334C2c2ae7D623257398d0549
Linea Sepolia: 0x03F80FeA1795627334C2c2ae7D623257398d0549
World: 0x03F80FeA1795627334C2c2ae7D623257398d0549
Blockscout Scroll Sepolia: 0x03F80FeA1795627334C2c2ae7D623257398d0549",https://github.com/wizicer/dark-factory/blob/fe499b3b8d83daaa6874b4c11536055d2b6e1a56/circuits/LayoutEligibility.circom#L194
