,project,path,Total_Constraints,groundtruth,root-cause-name,root-cause-id,circomspect_suspicious_templates_x,circomspect_suspicious_templates_y,circomspect_flag_x,circomspect_flag_y,picus_flag_x,picus_flag_y,circomspect_time_x,circomspect_time_y,picus_time_x,picus_time_y,zkap_suspicious_templates,zkap_flag,zkap_time,zkfuzz_flag_1,zkfuzz_seed_1,zkfuzz_git_hash_1,zkfuzz_time_1,zkfuzz_flag_2,zkfuzz_seed_2,zkfuzz_git_hash_2,zkfuzz_time_2,zkfuzz_flag_3,zkfuzz_seed_3,zkfuzz_git_hash_3,zkfuzz_time_3,zkfuzz_flag_4,zkfuzz_seed_4,zkfuzz_git_hash_4,zkfuzz_time_4,zkfuzz_flag_5,zkfuzz_seed_5,zkfuzz_git_hash_5,zkfuzz_time_5,zkfuzz_flag_type_1,zkfuzz_flag_type_2,zkfuzz_flag_type_3,zkfuzz_flag_type_4,zkfuzz_flag_type_5,ok,compile_time,conscs_flag,conscs_time,conscs_note,zkap_suspicious_templates_purified,zkap_flag_purified,zkfuzz_naive_flag_1,zkfuzz_naive_flag_2,zkfuzz_naive_flag_3,zkfuzz_naive_flag_4,zkfuzz_naive_flag_5,size
0,Circom-examples-d71c19c,test_ModP.circom,2,unsafe,ModP,[27],ModP,ModP,unsafe,unsafe,unsafe,unsafe,0.014,0.017,9.804,11.941,,,,unsafe,1,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.053308363,unsafe,2,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.059553569,unsafe,3,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.06200045,unsafe,4,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.165480855,unsafe,5,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.10264466,UnderConstrained-UnexpectedInput,UnderConstrained-NonDeterministic,UnderConstrained-UnexpectedInput,UnderConstrained-NonDeterministic,UnderConstrained-NonDeterministic,ok,0.025,safe,0.053978,,,safe,unsafe,unsafe,unsafe,unsafe,unsafe,0_small
1,Circom-examples-d71c19c,test_SecretSharingForParty1.circom,218,unsafe,ModP,[27],,ModP.LessThan.GreaterEqThan.Num2Bits.InField,,unsafe,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.029,safe,0.035974,,,safe,,,,,,1_medium
2,Circom-examples-d71c19c,test_fibonacci.circom,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.011,safe,0.011652,,,safe,,,,,,0_small
3,ZKDT-277f3f9,test_ADTChecker.circom,15313,unsafe,ThreshComp,[28],ADTChecker,ADTChecker.ThreshComp.IsZero.Num2Bits.LessThan,unsafe,unsafe,,,0.059,0.13,,,,,,,,,,unsafe,2,0a402b59222bf3608b2b7b9cec53edc55aa965c5,3294.776752,,,,,,,,,unsafe,5,0a402b59222bf3608b2b7b9cec53edc55aa965c5,4351.991714,,UnderConstrained-UnexpectedInput,,,UnderConstrained-UnexpectedInput,,,,,,,safe,,,,,,3_very large
4,ZKP_ERC721-00351b7,test_MintFunction.circom,1155,safe,,,,Poseidon,,unsafe,,,,8.286,,,Poseidon(us),unsafe,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.269,safe,2.042009,,,safe,,,,,,2_large
5,ZKP_ERC721-00351b7,test_OwnershipFunction.circom,1155,safe,,,,Poseidon,,unsafe,,,,8.377,,,Poseidon(us),unsafe,2,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.265,safe,2.251217,,,safe,,,,,,2_large
6,ZKP_ERC721-00351b7,test_ReceiverFunction.circom,1733,safe,,,ReceiverFunction,Poseidon.ReceiverFunction,unsafe,unsafe,,,0.181,7.888,,,Poseidon(us).ReceiverFunction(usco),unsafe,2.003,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.263,safe,2.174708,,,safe,,,,,,2_large
7,ZKP_ERC721-00351b7,test_SenderFunction.circom,1155,safe,,,,Poseidon,,unsafe,,,,8.078,,,Poseidon(us),unsafe,1.962,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.262,safe,2.038284,,,safe,,,,,,2_large
8,ZKWave-e303600,test_VerifyPolynomial.circom,21,safe,,,VerifyPolynomial,VerifyPolynomial,unsafe,unsafe,,,0.024,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0.014,safe,0.014831,,,safe,,,,,,0_small
9,Zkp-voting-82f1cac,test_voting.circom,631,unsafe,Vote,[29],,Num2Bits.LessEqThan.Poseidon.GreaterEqThan.LessThan,,unsafe,,,,8.078,,,,,,unsafe,1,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.483450629,unsafe,2,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.40656858,unsafe,3,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.425547511,unsafe,4,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.51639353,unsafe,5,0a402b59222bf3608b2b7b9cec53edc55aa965c5,0.481865223,UnderConstrained-UnexpectedInput,UnderConstrained-UnexpectedInput,UnderConstrained-UnexpectedInput,UnderConstrained-UnexpectedInput,UnderConstrained-UnexpectedInput,ok,0.267,safe,47.48233,,,safe,unsafe,unsafe,unsafe,unsafe,unsafe,1_medium
